"Name","Sex","Age","Height","Weight","Team","Year","Sport","Medal","BMI"
"Allyson Michelle Felix","F",22,168,56,"United States",2008,"Athletics","Silver",19.8412698412698
"Allyson Michelle Felix","F",22,168,56,"United States",2008,"Athletics","Gold",19.8412698412698
"Allyson Michelle Felix","F",26,168,56,"United States",2012,"Athletics","Gold",19.8412698412698
"Allyson Michelle Felix","F",26,168,56,"United States",2012,"Athletics","Gold",19.8412698412698
"Allyson Michelle Felix","F",26,168,56,"United States",2012,"Athletics","Gold",19.8412698412698
"Allyson Michelle Felix","F",30,168,56,"United States",2016,"Athletics","Silver",19.8412698412698
"Allyson Michelle Felix","F",30,168,56,"United States",2016,"Athletics","Gold",19.8412698412698
"Allyson Michelle Felix","F",30,168,56,"United States",2016,"Athletics","Gold",19.8412698412698
"Sylviane Flix","F",26,174,58,"France",2004,"Athletics","Bronze",19.1570881226054
"Lszl Felkai","M",19,180,76,"Hungary",1960,"Water Polo","Bronze",23.4567901234568
"Lszl Felkai","M",23,180,76,"Hungary",1964,"Water Polo","Gold",23.4567901234568
"Lszl Felkai","M",27,180,76,"Hungary",1968,"Water Polo","Bronze",23.4567901234568
"Heather Rame Fell","F",25,169,62,"Great Britain",2008,"Modern Pentathlon","Silver",21.7079233920381
"Maurizio Felugo","M",31,189,82,"Italy",2012,"Water Polo","Silver",22.9556843313457
"Josef Fendt","M",28,180,86,"West Germany",1976,"Luge","Silver",26.5432098765432
"Feng Kai","M",19,179,75,"China",1998,"Short Track Speed Skating","Bronze",23.4075091289286
"Feng Kai","M",23,179,75,"China",2002,"Short Track Speed Skating","Bronze",23.4075091289286
"Feng Kun","F",25,183,75,"China",2004,"Volleyball","Gold",22.3954134193317
"Feng Kun","F",29,183,75,"China",2008,"Volleyball","Bronze",22.3954134193317
"Feng Shanshan","F",26,170,85,"China",2016,"Golf","Bronze",29.4117647058824
"Feng Tian Wei","F",21,163,55,"Singapore",2008,"Table Tennis","Silver",20.7008167413151
"Feng Tian Wei","F",25,163,55,"Singapore",2012,"Table Tennis","Bronze",20.7008167413151
"Feng Tian Wei","F",25,163,55,"Singapore",2012,"Table Tennis","Bronze",20.7008167413151
"Feng Zhe","M",24,160,58,"China",2012,"Gymnastics","Gold",22.65625
"Feng Zhe","M",24,160,58,"China",2012,"Gymnastics","Gold",22.65625
"Anna Fenninger (-Veith)","F",24,166,64,"Austria",2014,"Alpine Skiing","Gold",23.2254318478734
"Anna Fenninger (-Veith)","F",24,166,64,"Austria",2014,"Alpine Skiing","Silver",23.2254318478734
"Grard Fenouil","M",23,177,72,"France",1968,"Athletics","Bronze",22.98190175237
"Peter Thomas ""Pete"" Fenson","M",37,182,75,"United States",2006,"Curling","Bronze",22.6421929718633
"Csaba Fenyvesi","M",25,184,79,"Hungary",1968,"Fencing","Gold",23.3341209829868
"Csaba Fenyvesi","M",29,184,79,"Hungary",1972,"Fencing","Gold",23.3341209829868
"Csaba Fenyvesi","M",29,184,79,"Hungary",1972,"Fencing","Gold",23.3341209829868
"Yevgeny Ivanovich Feofanov","M",23,173,75,"Soviet Union",1960,"Boxing","Bronze",25.0593070266297
"Svetlana Yevgenyevna Feofanova","F",24,164,52,"Russia",2004,"Athletics","Silver",19.3337299226651
"Svetlana Yevgenyevna Feofanova","F",28,164,52,"Russia",2008,"Athletics","Bronze",19.3337299226651
"Emilie Fer","F",29,170,63,"France",2012,"Canoeing","Gold",21.7993079584775
"Mable Fergerson (-Winn)","F",17,170,60,"United States",1972,"Athletics","Silver",20.7612456747405
"Cathy Jane Ferguson (-Brennan)","F",16,173,61,"United States",1964,"Swimming","Gold",20.3815697149921
"Cathy Jane Ferguson (-Brennan)","F",16,173,61,"United States",1964,"Swimming","Gold",20.3815697149921
"Ian Gordon Ferguson","M",32,179,85,"New Zealand",1984,"Canoeing","Gold",26.528510346119
"Ian Gordon Ferguson","M",32,179,85,"New Zealand",1984,"Canoeing","Gold",26.528510346119
"Ian Gordon Ferguson","M",32,179,85,"New Zealand",1984,"Canoeing","Gold",26.528510346119
"Ian Gordon Ferguson","M",36,179,85,"New Zealand",1988,"Canoeing","Gold",26.528510346119
"Ian Gordon Ferguson","M",36,179,85,"New Zealand",1988,"Canoeing","Silver",26.528510346119
"James Michael ""Jim"" Ferguson","M",23,188,84,"United States",1972,"Water Polo","Bronze",23.766410140335
"Deborah ""Debbie"" Ferguson-McKenzie","F",20,168,63,"Bahamas",1996,"Athletics","Silver",22.3214285714286
"Deborah ""Debbie"" Ferguson-McKenzie","F",24,168,63,"Bahamas",2000,"Athletics","Gold",22.3214285714286
"Deborah ""Debbie"" Ferguson-McKenzie","F",28,168,63,"Bahamas",2004,"Athletics","Bronze",22.3214285714286
"Attila Feri","M",27,175,71.5,"Hungary",1996,"Weightlifting","Bronze",23.3469387755102
"Bjrn Bernt Ewald Ferm","M",24,180,72,"Sweden",1968,"Modern Pentathlon","Gold",22.2222222222222
"Fernanda Porto Venturini","F",25,180,66,"Brazil",1996,"Volleyball","Bronze",20.3703703703704
"Fernando ""Fernando"" Roscio de vila","M",29,199,92,"Brazil",1984,"Volleyball","Silver",23.2317365723088
"Vanessa de Sousa Fernandes","F",22,169,55,"Portugal",2008,"Triathlon","Silver",19.2570288155177
"Ana Ivis Fernndez Valle","F",22,184,80,"Cuba",1996,"Volleyball","Gold",23.6294896030246
"Ana Ivis Fernndez Valle","F",27,184,80,"Cuba",2000,"Volleyball","Gold",23.6294896030246
"Ana Ivis Fernndez Valle","F",31,184,80,"Cuba",2004,"Volleyball","Bronze",23.6294896030246
"Armando Fernndez Alatorre","M",29,175,73,"West Germany",1984,"Water Polo","Bronze",23.8367346938776
"Beatriz Fernndez Ibez","F",27,180,74,"Spain",2012,"Handball","Bronze",22.8395061728395
"Begoa Fernndez Molinos","F",32,180,71,"Spain",2012,"Handball","Bronze",21.9135802469136
"Francisco Javier Fernndez Pelez","M",27,175,60,"Spain",2004,"Athletics","Silver",19.5918367346939
"Gabriel Diego Fernndez","M",27,204,111,"Argentina",2004,"Basketball","Gold",26.6724336793541
"Beatriz Cristina ""Gigi"" Fernandez","F",28,170,66,"United States",1992,"Tennis","Gold",22.8373702422145
"Beatriz Cristina ""Gigi"" Fernandez","F",32,170,66,"United States",1996,"Tennis","Gold",22.8373702422145
